:START_ID,:END_ID,score:DOUBLE,:TYPE
58170,722,0.038134,SCORE
58170,31376,0.024832,SCORE
58170,24,0.019997,SCORE
58170,261,0.015616,SCORE
58170,5349,0.014745,SCORE
58170,33706,0.014229,SCORE
58170,12197,0.010484,SCORE
58170,17242,0.008337,SCORE
58170,718,0.007884,SCORE
58170,126,0.007619,SCORE
58170,15590,0.007258,SCORE
58170,8493,0.007128,SCORE
58170,32989,0.006452,SCORE
58170,2146,0.006399,SCORE
58170,175,0.006222,SCORE
58170,1476,0.005806,SCORE
58170,11496,0.005781,SCORE
58170,567,0.005753,SCORE
58170,21648,0.005713,SCORE
58170,275,0.005394,SCORE
58170,38,0.005132,SCORE
58170,26236,0.005048,SCORE
58170,1164,0.004907,SCORE
58170,29523,0.004734,SCORE
58170,596,0.004693,SCORE
58170,73,0.004601,SCORE
58170,5955,0.004530,SCORE
58170,120,0.004518,SCORE
58170,22229,0.004228,SCORE
58170,1008,0.004095,SCORE
58171,17496,0.106796,SCORE
58171,33,0.031431,SCORE
58171,34,0.031319,SCORE
58171,718,0.008564,SCORE
58171,268,0.008248,SCORE
58171,1801,0.006859,SCORE
58171,261,0.006513,SCORE
58171,1181,0.006483,SCORE
58171,12178,0.006483,SCORE
58171,7152,0.006472,SCORE
58171,5590,0.005719,SCORE
58171,610,0.005551,SCORE
58171,275,0.005302,SCORE
58171,2187,0.005027,SCORE
58171,1941,0.004681,SCORE
58171,224,0.004508,SCORE
58171,175,0.004432,SCORE
58171,154,0.004228,SCORE
58171,685,0.004122,SCORE
58171,517,0.003409,SCORE
58171,538,0.003399,SCORE
58171,15533,0.003338,SCORE
58171,1595,0.003302,SCORE
58171,277,0.003282,SCORE
58171,3824,0.003257,SCORE
58171,1494,0.003257,SCORE
58171,10249,0.003252,SCORE
58171,11834,0.003246,SCORE
58171,22394,0.003241,SCORE
58171,19937,0.003236,SCORE
58172,4852,0.013415,SCORE
58172,175,0.013139,SCORE
58172,24,0.010395,SCORE
58172,117,0.009984,SCORE
58172,17815,0.009288,SCORE
58172,796,0.008612,SCORE
58172,261,0.007945,SCORE
58172,4865,0.007365,SCORE
58172,143,0.006437,SCORE
58172,3519,0.005969,SCORE
58172,275,0.005663,SCORE
58172,492,0.005484,SCORE
58172,1963,0.004881,SCORE
58172,4505,0.004657,SCORE
58172,844,0.004629,SCORE
58172,1901,0.004587,SCORE
58172,155,0.004364,SCORE
58172,1069,0.004242,SCORE
58172,428,0.004239,SCORE
58172,21168,0.004074,SCORE
58172,44006,0.003964,SCORE
58172,137,0.003911,SCORE
58172,2615,0.003900,SCORE
58172,19873,0.003843,SCORE
58172,38,0.003830,SCORE
58172,9857,0.003797,SCORE
58172,11165,0.003608,SCORE
58172,3058,0.003579,SCORE
58172,2101,0.003492,SCORE
58172,120,0.003484,SCORE
58173,691,0.018148,SCORE
58173,1132,0.015663,SCORE
58173,1982,0.014489,SCORE
58173,360,0.011204,SCORE
58173,24,0.010409,SCORE
58173,175,0.008784,SCORE
58173,448,0.007300,SCORE
58173,844,0.007122,SCORE
58173,849,0.006566,SCORE
58173,856,0.006029,SCORE
58173,95,0.005654,SCORE
58173,120,0.005051,SCORE
58173,385,0.004903,SCORE
58173,834,0.004738,SCORE
58173,1010,0.004568,SCORE
58173,2361,0.004088,SCORE
58173,1435,0.004029,SCORE
58173,275,0.003904,SCORE
58173,1163,0.003734,SCORE
58173,646,0.003686,SCORE
58173,261,0.003670,SCORE
58173,122,0.003542,SCORE
58173,3203,0.003414,SCORE
58173,64,0.003358,SCORE
58173,1399,0.003277,SCORE
58173,1150,0.003272,SCORE
58173,4938,0.003110,SCORE
58173,1800,0.003096,SCORE
58173,507,0.003092,SCORE
58173,1192,0.003059,SCORE
58174,2223,0.114286,SCORE
58174,4829,0.057291,SCORE
58174,12010,0.048074,SCORE
58174,4645,0.046384,SCORE
58174,1246,0.029320,SCORE
58174,147,0.021589,SCORE
58174,11398,0.019048,SCORE
58174,1286,0.016005,SCORE
58174,120,0.013864,SCORE
58174,6016,0.013634,SCORE
58174,1285,0.012739,SCORE
58174,3310,0.012004,SCORE
58174,137,0.011084,SCORE
58174,1016,0.010858,SCORE
58174,5424,0.010073,SCORE
58174,4565,0.009968,SCORE
58174,1061,0.009723,SCORE
58174,1069,0.009672,SCORE
58174,24,0.009672,SCORE
58174,448,0.009672,SCORE
58174,18312,0.009524,SCORE
58174,6092,0.009524,SCORE
58174,15373,0.009524,SCORE
58174,3862,0.009524,SCORE
58174,12732,0.009524,SCORE
58174,51352,0.009524,SCORE
58174,39459,0.009524,SCORE
58174,3613,0.009524,SCORE
58174,7970,0.009524,SCORE
58174,1077,0.009524,SCORE
58175,941,0.020114,SCORE
58175,1067,0.019231,SCORE
58175,175,0.013383,SCORE
58175,24,0.011751,SCORE
58175,813,0.010336,SCORE
58175,659,0.009296,SCORE
58175,518,0.008566,SCORE
58175,2168,0.007934,SCORE
58175,746,0.006199,SCORE
58175,161,0.006140,SCORE
58175,2006,0.005954,SCORE
58175,64,0.005907,SCORE
58175,5781,0.005732,SCORE
58175,15880,0.005667,SCORE
58175,275,0.005604,SCORE
58175,143,0.005456,SCORE
