:START_ID,:END_ID,score:DOUBLE,:TYPE
9130,60,0.021375,SCORE
9130,1250,0.020728,SCORE
9130,2821,0.018437,SCORE
9130,1267,0.010628,SCORE
9130,1288,0.010307,SCORE
9130,1299,0.010053,SCORE
9130,28447,0.009644,SCORE
9130,1255,0.008325,SCORE
9130,143,0.007345,SCORE
9130,5445,0.006046,SCORE
9130,9129,0.005775,SCORE
9130,507,0.004941,SCORE
9130,8773,0.004855,SCORE
9130,22930,0.004757,SCORE
9130,161,0.004669,SCORE
9130,12567,0.004648,SCORE
9130,24,0.004492,SCORE
9130,3470,0.004061,SCORE
9130,836,0.004026,SCORE
9130,120,0.003850,SCORE
9130,175,0.003823,SCORE
9130,1462,0.003679,SCORE
9130,22311,0.003648,SCORE
9130,849,0.003466,SCORE
9130,193,0.003455,SCORE
9130,1252,0.003328,SCORE
9130,15232,0.003280,SCORE
9130,2226,0.003168,SCORE
9130,448,0.003106,SCORE
9130,6287,0.002984,SCORE
9131,24,0.021486,SCORE
9131,1066,0.020881,SCORE
9131,2512,0.013806,SCORE
9131,1276,0.009703,SCORE
9131,28930,0.009345,SCORE
9131,9132,0.009086,SCORE
9131,2536,0.007990,SCORE
9131,10160,0.007920,SCORE
9131,5304,0.007082,SCORE
9131,21164,0.005631,SCORE
9131,28931,0.005369,SCORE
9131,5102,0.005286,SCORE
9131,3844,0.005260,SCORE
9131,275,0.004910,SCORE
9131,438,0.004506,SCORE
9131,276,0.004134,SCORE
9131,986,0.004015,SCORE
9131,137,0.003719,SCORE
9131,421,0.003541,SCORE
9131,1892,0.003433,SCORE
9131,756,0.003415,SCORE
9131,5619,0.003411,SCORE
9131,143,0.003409,SCORE
9131,8714,0.003368,SCORE
9131,1440,0.003348,SCORE
9131,175,0.003263,SCORE
9131,20281,0.003254,SCORE
9131,1144,0.003130,SCORE
9131,2513,0.003105,SCORE
9131,261,0.003071,SCORE
9132,1066,0.027708,SCORE
9132,2512,0.016166,SCORE
9132,1276,0.015713,SCORE
9132,24,0.014799,SCORE
9132,5102,0.008384,SCORE
9132,5304,0.007795,SCORE
9132,261,0.007644,SCORE
9132,175,0.005748,SCORE
9132,986,0.005353,SCORE
9132,28931,0.005326,SCORE
9132,9131,0.005016,SCORE
9132,25587,0.004985,SCORE
9132,275,0.004961,SCORE
9132,117,0.004947,SCORE
9132,28930,0.004617,SCORE
9132,5619,0.004611,SCORE
9132,13953,0.004361,SCORE
9132,8714,0.004069,SCORE
9132,792,0.003887,SCORE
9132,137,0.003719,SCORE
9132,756,0.003646,SCORE
9132,10160,0.003569,SCORE
9132,2536,0.003294,SCORE
9132,5823,0.003265,SCORE
9132,950,0.003247,SCORE
9132,143,0.003146,SCORE
9132,25303,0.003136,SCORE
9132,38,0.002918,SCORE
9132,161,0.002852,SCORE
9132,3659,0.002810,SCORE
9133,3670,0.029516,SCORE
9133,789,0.028367,SCORE
9133,24,0.025220,SCORE
9133,120,0.018961,SCORE
