:START_ID,:END_ID,score:DOUBLE,:TYPE
55040,1163,0.036331,SCORE
55040,385,0.026331,SCORE
55040,1171,0.025186,SCORE
55040,1138,0.019735,SCORE
55040,1679,0.017172,SCORE
55040,1529,0.014603,SCORE
55040,1010,0.013939,SCORE
55040,1426,0.012771,SCORE
55040,1399,0.009241,SCORE
55040,1488,0.007849,SCORE
55040,659,0.007478,SCORE
55040,4722,0.007334,SCORE
55040,701,0.007155,SCORE
55040,201,0.006838,SCORE
55040,2029,0.006321,SCORE
55040,944,0.006092,SCORE
55040,836,0.005984,SCORE
55040,2361,0.005786,SCORE
55040,1462,0.005576,SCORE
55040,9295,0.005551,SCORE
55040,3470,0.004950,SCORE
55040,24,0.004926,SCORE
55040,1136,0.004866,SCORE
55040,143,0.004660,SCORE
55040,2818,0.004459,SCORE
55040,2831,0.004450,SCORE
55040,1475,0.004248,SCORE
55040,1004,0.004187,SCORE
55040,2690,0.003831,SCORE
55040,4117,0.003829,SCORE
55041,2702,0.044568,SCORE
55041,878,0.031809,SCORE
55041,175,0.025439,SCORE
55041,38,0.023724,SCORE
55041,796,0.022292,SCORE
55041,7456,0.012238,SCORE
55041,275,0.011462,SCORE
55041,360,0.010442,SCORE
55041,126,0.010152,SCORE
55041,408,0.008041,SCORE
55041,24,0.007631,SCORE
55041,141,0.007118,SCORE
55041,143,0.006560,SCORE
55041,4207,0.006220,SCORE
55041,1976,0.005735,SCORE
55041,117,0.005648,SCORE
55041,313,0.004838,SCORE
55041,511,0.004461,SCORE
55041,261,0.004187,SCORE
55041,518,0.004103,SCORE
55041,407,0.004095,SCORE
55041,2015,0.003991,SCORE
55041,2837,0.003586,SCORE
55041,2530,0.003416,SCORE
55041,3,0.003302,SCORE
55041,443,0.003286,SCORE
55041,30,0.003247,SCORE
55041,981,0.003229,SCORE
55041,73,0.003065,SCORE
55041,839,0.003051,SCORE
55042,502,0.014808,SCORE
55042,841,0.013805,SCORE
55042,507,0.013558,SCORE
55042,3618,0.009855,SCORE
55042,15732,0.009139,SCORE
55042,448,0.008563,SCORE
55042,24,0.007195,SCORE
55042,1462,0.005939,SCORE
55042,161,0.005534,SCORE
55042,163,0.005269,SCORE
55042,6398,0.004992,SCORE
55042,126,0.004922,SCORE
55042,1238,0.004903,SCORE
55042,261,0.004508,SCORE
55042,2029,0.004465,SCORE
55042,506,0.004432,SCORE
55042,836,0.004355,SCORE
55042,1163,0.004332,SCORE
55042,995,0.003264,SCORE
55042,120,0.003260,SCORE
55042,746,0.003252,SCORE
55042,211,0.003103,SCORE
55042,1192,0.002984,SCORE
55042,1255,0.002841,SCORE
55042,944,0.002838,SCORE
55042,2164,0.002703,SCORE
55042,143,0.002669,SCORE
55042,849,0.002644,SCORE
55042,13748,0.002598,SCORE
55042,21912,0.002595,SCORE
55043,1010,0.019314,SCORE
55043,6114,0.015251,SCORE
55043,1163,0.009201,SCORE
55043,1462,0.008255,SCORE
55043,6113,0.008004,SCORE
55043,448,0.007449,SCORE
55043,9627,0.006913,SCORE
55043,1009,0.006636,SCORE
55043,2460,0.005804,SCORE
55043,521,0.005707,SCORE
55043,424,0.005450,SCORE
55043,261,0.005194,SCORE
55043,13635,0.005177,SCORE
55043,944,0.004915,SCORE
55043,143,0.004869,SCORE
55043,738,0.004741,SCORE
55043,14486,0.004723,SCORE
55043,24,0.004251,SCORE
55043,1226,0.003826,SCORE
55043,1070,0.003711,SCORE
55043,95,0.003637,SCORE
55043,860,0.003395,SCORE
55043,1613,0.003003,SCORE
55043,13994,0.002852,SCORE
55043,4453,0.002833,SCORE
55043,268,0.002789,SCORE
55043,7392,0.002777,SCORE
55043,385,0.002736,SCORE
55043,1935,0.002728,SCORE
55043,1334,0.002651,SCORE
55044,1010,0.021366,SCORE
55044,143,0.013241,SCORE
55044,4291,0.011156,SCORE
55044,60532,0.009553,SCORE
55044,1009,0.006379,SCORE
55044,27009,0.006328,SCORE
55044,1399,0.005934,SCORE
55044,1163,0.005902,SCORE
55044,30069,0.005560,SCORE
55044,1027,0.005332,SCORE
55044,681,0.005208,SCORE
55044,9827,0.005196,SCORE
55044,796,0.004979,SCORE
55044,13010,0.004899,SCORE
55044,385,0.004891,SCORE
55044,1093,0.004606,SCORE
55044,944,0.004464,SCORE
55044,95,0.004413,SCORE
55044,1634,0.004220,SCORE
55044,507,0.004185,SCORE
55044,1462,0.004018,SCORE
55044,131,0.003820,SCORE
55044,691,0.003803,SCORE
55044,175,0.003697,SCORE
55044,2491,0.003670,SCORE
55044,1590,0.003634,SCORE
55044,1833,0.003535,SCORE
55044,311,0.003516,SCORE
55044,2820,0.003433,SCORE
55044,1586,0.003342,SCORE
55045,74,0.059152,SCORE
55045,126,0.037986,SCORE
55045,73,0.035869,SCORE
55045,13,0.015600,SCORE
55045,1003,0.015238,SCORE
55045,556,0.014918,SCORE
55045,555,0.013657,SCORE
55045,38,0.011172,SCORE
55045,248,0.009888,SCORE
