:START_ID,:END_ID,score:DOUBLE,:TYPE
18260,83,0.015163,SCORE
18260,1963,0.012729,SCORE
18260,1442,0.010180,SCORE
18260,3679,0.010174,SCORE
18260,275,0.009638,SCORE
18260,1901,0.009165,SCORE
18260,447,0.008870,SCORE
18260,986,0.008588,SCORE
18260,84,0.007756,SCORE
18260,6368,0.007611,SCORE
18260,2896,0.007525,SCORE
18260,24,0.007414,SCORE
18260,72,0.006900,SCORE
18260,253,0.006669,SCORE
18260,301,0.006100,SCORE
18260,543,0.005677,SCORE
18260,1267,0.005559,SCORE
18260,26280,0.005549,SCORE
18260,2855,0.005400,SCORE
18260,968,0.004777,SCORE
18260,3680,0.004759,SCORE
18260,18242,0.004591,SCORE
18260,448,0.004428,SCORE
18260,14212,0.004310,SCORE
18260,554,0.004295,SCORE
18260,30,0.004281,SCORE
18260,163,0.004280,SCORE
18260,82,0.004154,SCORE
18260,232,0.004073,SCORE
18260,2360,0.003727,SCORE
18261,606,0.035252,SCORE
18261,406,0.024099,SCORE
18261,24,0.023471,SCORE
18261,1267,0.016984,SCORE
18261,275,0.013125,SCORE
18261,10298,0.011415,SCORE
18261,8790,0.011136,SCORE
18261,7667,0.010048,SCORE
18261,5556,0.009411,SCORE
18261,9519,0.009044,SCORE
18261,10469,0.008176,SCORE
18261,251,0.007575,SCORE
18261,29665,0.007377,SCORE
18261,7635,0.007300,SCORE
18261,175,0.007137,SCORE
18261,411,0.006077,SCORE
18261,992,0.005573,SCORE
18261,19432,0.005470,SCORE
18261,3611,0.005380,SCORE
18261,30590,0.005367,SCORE
18261,233,0.005228,SCORE
18261,9852,0.005020,SCORE
18261,2855,0.004847,SCORE
18261,508,0.004424,SCORE
18261,11911,0.004354,SCORE
18261,32474,0.004322,SCORE
18261,6696,0.004311,SCORE
18261,443,0.004266,SCORE
18261,40608,0.004107,SCORE
18261,9679,0.004068,SCORE
18262,1009,0.014597,SCORE
18262,24,0.010709,SCORE
18262,1462,0.007785,SCORE
18262,448,0.006585,SCORE
18262,38,0.005322,SCORE
18262,1163,0.004650,SCORE
18262,1953,0.004594,SCORE
18262,175,0.004416,SCORE
18262,16580,0.004352,SCORE
18262,143,0.004102,SCORE
18262,120,0.003937,SCORE
18262,16636,0.003675,SCORE
18262,55728,0.003656,SCORE
18262,3709,0.003631,SCORE
18262,856,0.003215,SCORE
18262,275,0.003151,SCORE
18262,836,0.003087,SCORE
18262,95,0.003010,SCORE
18262,796,0.003000,SCORE
18262,849,0.002962,SCORE
18262,1010,0.002867,SCORE
18262,3244,0.002806,SCORE
18262,1435,0.002755,SCORE
18262,161,0.002668,SCORE
18262,844,0.002642,SCORE
18262,311,0.002629,SCORE
18262,1800,0.002560,SCORE
18262,1408,0.002535,SCORE
18262,261,0.002515,SCORE
18262,11452,0.002501,SCORE
18263,14572,0.015308,SCORE
18263,24,0.010375,SCORE
18263,3522,0.009554,SCORE
18263,275,0.007203,SCORE
18263,839,0.006696,SCORE
18263,2542,0.006509,SCORE
18263,73,0.006287,SCORE
18263,175,0.005939,SCORE
18263,977,0.005496,SCORE
18263,293,0.005476,SCORE
18263,38,0.004991,SCORE
18263,120,0.004690,SCORE
18263,74,0.004541,SCORE
18263,24735,0.004224,SCORE
18263,41147,0.004210,SCORE
18263,30,0.004111,SCORE
18263,126,0.004068,SCORE
18263,17901,0.003875,SCORE
18263,261,0.003705,SCORE
18263,3812,0.003648,SCORE
18263,507,0.003568,SCORE
18263,95,0.003508,SCORE
18263,2817,0.003417,SCORE
18263,840,0.003396,SCORE
18263,3618,0.003394,SCORE
18263,796,0.003193,SCORE
18263,161,0.003167,SCORE
18263,7131,0.003097,SCORE
18263,2214,0.003094,SCORE
18263,62830,0.003064,SCORE
18264,1101,0.029437,SCORE
18264,126,0.020191,SCORE
18264,2355,0.014218,SCORE
18264,746,0.009632,SCORE
18264,533,0.009565,SCORE
18264,796,0.009052,SCORE
18264,13,0.007423,SCORE
18264,2831,0.006955,SCORE
18264,3740,0.006825,SCORE
18264,24322,0.006633,SCORE
18264,24,0.006596,SCORE
18264,2103,0.006520,SCORE
18264,2975,0.006344,SCORE
18264,275,0.006226,SCORE
18264,38,0.006189,SCORE
18264,448,0.006049,SCORE
18264,175,0.005762,SCORE
18264,30,0.005693,SCORE
18264,4649,0.005654,SCORE
18264,3117,0.004908,SCORE
18264,685,0.004731,SCORE
18264,2910,0.004696,SCORE
18264,24104,0.004674,SCORE
18264,794,0.004317,SCORE
18264,33145,0.004228,SCORE
18264,13994,0.004073,SCORE
18264,3203,0.004071,SCORE
18264,898,0.004055,SCORE
18264,4836,0.003939,SCORE
18264,261,0.003920,SCORE
18265,7734,0.033265,SCORE
18265,17020,0.023123,SCORE
18265,24,0.022482,SCORE
18265,32365,0.017653,SCORE
18265,5096,0.017433,SCORE
18265,7924,0.016329,SCORE
18265,11736,0.015447,SCORE
18265,1128,0.011575,SCORE
18265,12819,0.010813,SCORE
18265,8810,0.010385,SCORE
18265,854,0.009950,SCORE
18265,27545,0.009491,SCORE
18265,5497,0.006881,SCORE
18265,6381,0.006843,SCORE
18265,448,0.006651,SCORE
18265,4182,0.006491,SCORE
18265,11735,0.006330,SCORE
18265,2983,0.005936,SCORE
18265,2119,0.005281,SCORE
18265,1071,0.005218,SCORE
18265,275,0.005209,SCORE
18265,45096,0.005071,SCORE
18265,1476,0.004966,SCORE
18265,9552,0.004924,SCORE
18265,13994,0.004883,SCORE
18265,12943,0.004668,SCORE
18265,208,0.004608,SCORE
18265,261,0.004429,SCORE
18265,175,0.004225,SCORE
18265,4160,0.004198,SCORE
18266,1115,0.028172,SCORE
18266,38,0.021234,SCORE
18266,5560,0.017823,SCORE
18266,24882,0.014360,SCORE
18266,261,0.008558,SCORE
18266,3851,0.008535,SCORE
18266,24,0.007769,SCORE
18266,26,0.007503,SCORE
18266,2,0.007260,SCORE
18266,13,0.006484,SCORE
18266,7,0.006014,SCORE
18266,3014,0.005994,SCORE
18266,1645,0.005973,SCORE
18266,161,0.005456,SCORE
18266,5048,0.005000,SCORE
18266,381,0.004547,SCORE
18266,2601,0.004483,SCORE
18266,16399,0.004278,SCORE
18266,11523,0.004251,SCORE
18266,8337,0.004199,SCORE
18266,10653,0.004124,SCORE
18266,6535,0.004111,SCORE
18266,15,0.004083,SCORE
18266,25494,0.003671,SCORE
18266,275,0.003662,SCORE
18266,941,0.003634,SCORE
18266,8296,0.003631,SCORE
