:START_ID,:END_ID,score:DOUBLE,:TYPE
30520,12405,0.024381,SCORE
30520,24,0.014780,SCORE
30520,1029,0.014485,SCORE
30520,519,0.013324,SCORE
30520,2311,0.013178,SCORE
30520,3851,0.013149,SCORE
30520,8046,0.011910,SCORE
30520,161,0.011371,SCORE
30520,208,0.011351,SCORE
30520,40,0.009844,SCORE
30520,190,0.009188,SCORE
30520,521,0.007942,SCORE
30520,447,0.007255,SCORE
30520,261,0.006458,SCORE
30520,622,0.006420,SCORE
30520,691,0.006110,SCORE
30520,311,0.005491,SCORE
30520,64,0.005424,SCORE
30520,13320,0.005123,SCORE
30520,66946,0.005102,SCORE
30520,3337,0.004754,SCORE
30520,3878,0.004577,SCORE
30520,940,0.004472,SCORE
30520,4558,0.004447,SCORE
30520,62954,0.004430,SCORE
30520,481,0.004111,SCORE
30520,406,0.004032,SCORE
30520,1224,0.004011,SCORE
30520,2064,0.003902,SCORE
30520,5714,0.003520,SCORE
30521,24,0.020164,SCORE
30521,8046,0.011859,SCORE
30521,659,0.009499,SCORE
30521,955,0.009231,SCORE
30521,448,0.008825,SCORE
30521,792,0.008355,SCORE
30521,163,0.008347,SCORE
30521,275,0.008001,SCORE
30521,791,0.007558,SCORE
30521,261,0.007288,SCORE
30521,3851,0.007036,SCORE
30521,8296,0.006676,SCORE
30521,747,0.006407,SCORE
30521,175,0.006388,SCORE
30521,2855,0.006099,SCORE
30521,62,0.006030,SCORE
30521,26,0.005976,SCORE
30521,161,0.005453,SCORE
30521,2187,0.005292,SCORE
30521,11544,0.005281,SCORE
30521,1899,0.005238,SCORE
30521,190,0.005091,SCORE
30521,120,0.004984,SCORE
30521,7791,0.004854,SCORE
30521,143,0.004504,SCORE
30521,1905,0.004288,SCORE
30521,84,0.004077,SCORE
30521,66949,0.003922,SCORE
30521,72,0.003777,SCORE
30521,3072,0.003411,SCORE
30522,24,0.017848,SCORE
30522,137,0.015679,SCORE
30522,62921,0.013637,SCORE
30522,1086,0.011155,SCORE
30522,448,0.010144,SCORE
30522,7145,0.007736,SCORE
30522,9238,0.007669,SCORE
30522,2983,0.006521,SCORE
30522,175,0.006421,SCORE
30522,16636,0.006103,SCORE
30522,6788,0.006038,SCORE
30522,275,0.005345,SCORE
30522,120,0.005217,SCORE
30522,261,0.005039,SCORE
30522,161,0.004142,SCORE
30522,796,0.004000,SCORE
30522,1128,0.003785,SCORE
30522,18557,0.003649,SCORE
30522,650,0.003614,SCORE
30522,126,0.003529,SCORE
30522,2720,0.003459,SCORE
30522,241,0.003063,SCORE
30522,8216,0.003001,SCORE
30522,117,0.002952,SCORE
30522,260,0.002938,SCORE
30522,1645,0.002879,SCORE
30522,143,0.002853,SCORE
30522,1953,0.002770,SCORE
30522,1267,0.002715,SCORE
30522,38,0.002683,SCORE
30523,161,0.112075,SCORE
30523,1669,0.024280,SCORE
30523,126,0.010698,SCORE
30523,1801,0.006859,SCORE
30523,175,0.006280,SCORE
30523,610,0.005558,SCORE
30523,1941,0.004715,SCORE
30523,261,0.004620,SCORE
30523,224,0.004508,SCORE
30523,154,0.004229,SCORE
30523,517,0.003520,SCORE
30523,807,0.003350,SCORE
30523,5928,0.003022,SCORE
30523,26,0.002905,SCORE
30523,1068,0.002741,SCORE
30523,2717,0.002636,SCORE
30523,33,0.002418,SCORE
30523,5224,0.002306,SCORE
30523,34,0.002306,SCORE
30523,64576,0.002301,SCORE
30523,2855,0.002297,SCORE
30523,275,0.002244,SCORE
30523,671,0.002157,SCORE
30523,849,0.002127,SCORE
30523,6793,0.002086,SCORE
30523,3450,0.002001,SCORE
30523,3851,0.001924,SCORE
30523,416,0.001901,SCORE
30523,7263,0.001867,SCORE
30523,796,0.001829,SCORE
30524,162,0.048550,SCORE
30524,12626,0.015301,SCORE
30524,24,0.008497,SCORE
30524,161,0.008342,SCORE
30524,275,0.006402,SCORE
30524,5590,0.005343,SCORE
30524,15326,0.005240,SCORE
30524,977,0.004863,SCORE
30524,261,0.004751,SCORE
30524,1141,0.004746,SCORE
30524,26,0.004611,SCORE
30524,1252,0.004549,SCORE
30524,1752,0.004500,SCORE
30524,1948,0.004176,SCORE
30524,3851,0.004124,SCORE
30524,143,0.003962,SCORE
30524,6352,0.003885,SCORE
30524,21669,0.003868,SCORE
30524,38,0.003796,SCORE
30524,4036,0.003778,SCORE
30524,126,0.003579,SCORE
30524,449,0.003564,SCORE
30524,779,0.003523,SCORE
30524,1267,0.003128,SCORE
30524,521,0.003074,SCORE
30524,908,0.003045,SCORE
30524,15,0.002869,SCORE
30524,84,0.002795,SCORE
30524,184,0.002791,SCORE
30524,746,0.002721,SCORE
30525,143,0.040234,SCORE
30525,977,0.033555,SCORE
30525,9233,0.021168,SCORE
30525,538,0.020041,SCORE
30525,3791,0.020025,SCORE
30525,275,0.015739,SCORE
30525,137,0.013531,SCORE
30525,1076,0.013454,SCORE
30525,1267,0.013398,SCORE
30525,36042,0.013336,SCORE
30525,2117,0.013228,SCORE
30525,311,0.011076,SCORE
30525,13,0.010072,SCORE
30525,80056,0.010000,SCORE
30525,35812,0.010000,SCORE
30525,261,0.009440,SCORE
30525,4266,0.007940,SCORE
30525,5859,0.007939,SCORE
30525,4578,0.007686,SCORE
30525,981,0.007538,SCORE
30525,973,0.006907,SCORE
30525,1911,0.006861,SCORE
30525,1603,0.006833,SCORE
30525,12237,0.006762,SCORE
30525,8030,0.006670,SCORE
30525,10141,0.006670,SCORE
30525,10449,0.006669,SCORE
30525,9389,0.006669,SCORE
30525,6424,0.006668,SCORE
30525,34751,0.006668,SCORE
30526,3,0.049549,SCORE
30526,56,0.045919,SCORE
30526,24,0.041026,SCORE
30526,481,0.015831,SCORE
30526,261,0.014904,SCORE
30526,13969,0.014156,SCORE
30526,9287,0.013693,SCORE
30526,275,0.009846,SCORE
30526,3698,0.009027,SCORE
30526,2627,0.007638,SCORE
30526,175,0.007560,SCORE
30526,38,0.007514,SCORE
30526,659,0.007448,SCORE
30526,126,0.006343,SCORE
30526,428,0.005993,SCORE
30526,161,0.005629,SCORE
30526,7,0.005439,SCORE
30526,1576,0.005252,SCORE
30526,324,0.005126,SCORE
30526,1489,0.005039,SCORE
30526,18272,0.004768,SCORE
30526,5768,0.004656,SCORE
30526,3117,0.004427,SCORE
30526,2064,0.004255,SCORE
30526,2,0.004160,SCORE
30526,41,0.004128,SCORE
30526,190,0.004054,SCORE
30526,1490,0.003879,SCORE
30526,908,0.003746,SCORE
30526,26,0.003608,SCORE
30527,24,0.062811,SCORE
30527,1218,0.022522,SCORE
30527,276,0.019484,SCORE
30527,438,0.012001,SCORE
30527,313,0.011064,SCORE
30527,308,0.010366,SCORE
30527,381,0.009669,SCORE
30527,882,0.007572,SCORE
30527,5868,0.006626,SCORE
30527,408,0.006394,SCORE
30527,448,0.006364,SCORE
30527,890,0.006279,SCORE
30527,41835,0.006105,SCORE
30527,184,0.006039,SCORE
30527,1575,0.005971,SCORE
30527,604,0.005731,SCORE
30527,261,0.005265,SCORE
30527,1476,0.004968,SCORE
30527,84,0.004706,SCORE
30527,5168,0.004661,SCORE
30527,2037,0.004641,SCORE
30527,120,0.004580,SCORE
30527,5027,0.004509,SCORE
30527,275,0.004333,SCORE
30527,1815,0.004222,SCORE
30527,4448,0.003853,SCORE
30527,986,0.003790,SCORE
30527,2324,0.003773,SCORE
30527,175,0.003667,SCORE
30527,470,0.003560,SCORE
30528,26259,0.031947,SCORE
30528,5942,0.030244,SCORE
30528,24,0.019677,SCORE
30528,275,0.017185,SCORE
30528,30,0.010719,SCORE
30528,126,0.010024,SCORE
30528,38,0.009592,SCORE
30528,946,0.008459,SCORE
30528,7278,0.007496,SCORE
30528,721,0.006561,SCORE
30528,22842,0.006271,SCORE
30528,796,0.006038,SCORE
30528,175,0.005761,SCORE
30528,261,0.005360,SCORE
30528,453,0.005119,SCORE
30528,1502,0.004739,SCORE
30528,9045,0.004716,SCORE
30528,13343,0.004704,SCORE
30528,650,0.004441,SCORE
30528,393,0.004356,SCORE
30528,1301,0.004316,SCORE
30528,5911,0.004270,SCORE
30528,2873,0.004105,SCORE
30528,2011,0.003965,SCORE
30528,898,0.003889,SCORE
30528,1476,0.003837,SCORE
30528,511,0.003792,SCORE
30528,10130,0.003732,SCORE
30528,33,0.003573,SCORE
30528,5941,0.003430,SCORE
30529,175,0.067053,SCORE
30529,141,0.044480,SCORE
30529,275,0.024443,SCORE
30529,796,0.017195,SCORE
30529,443,0.008831,SCORE
30529,360,0.008589,SCORE
30529,1500,0.007197,SCORE
30529,24,0.006986,SCORE
30529,412,0.006138,SCORE
30529,659,0.005787,SCORE
30529,518,0.005647,SCORE
30529,143,0.005083,SCORE
30529,1998,0.004975,SCORE
30529,7264,0.004903,SCORE
30529,1581,0.004818,SCORE
30529,33,0.004497,SCORE
30529,34,0.004477,SCORE
30529,511,0.004309,SCORE
30529,2046,0.004076,SCORE
30529,977,0.003995,SCORE
30529,5498,0.003853,SCORE
30529,38,0.003843,SCORE
30529,86,0.003621,SCORE
30529,807,0.003586,SCORE
30529,2837,0.003575,SCORE
30529,655,0.003537,SCORE
30529,126,0.003519,SCORE
30529,117,0.003499,SCORE
30529,2015,0.003233,SCORE
30529,448,0.002992,SCORE
30530,1010,0.013727,SCORE
30530,6390,0.013238,SCORE
30530,95,0.013025,SCORE
30530,856,0.012020,SCORE
30530,844,0.009502,SCORE
30530,849,0.007403,SCORE
30530,24,0.007085,SCORE
30530,7998,0.006459,SCORE
30530,1163,0.006015,SCORE
30530,4617,0.005792,SCORE
30530,1690,0.005695,SCORE
30530,211,0.005451,SCORE
30530,1462,0.005361,SCORE
30530,1009,0.004972,SCORE
30530,123,0.004822,SCORE
30530,691,0.004536,SCORE
30530,1255,0.004513,SCORE
30530,122,0.004493,SCORE
30530,836,0.004319,SCORE
30530,4623,0.004042,SCORE
30530,2164,0.003845,SCORE
30530,1093,0.003774,SCORE
30530,4117,0.003730,SCORE
30530,410,0.003659,SCORE
30530,448,0.003348,SCORE
30530,4938,0.003276,SCORE
30530,763,0.003190,SCORE
30530,14341,0.003123,SCORE
30530,1569,0.002974,SCORE
30530,944,0.002875,SCORE
30531,856,0.018481,SCORE
30531,844,0.010778,SCORE
30531,849,0.008458,SCORE
30531,24,0.008327,SCORE
30531,1163,0.008204,SCORE
30531,385,0.008111,SCORE
30531,1462,0.005526,SCORE
30531,95,0.005318,SCORE
30531,944,0.004811,SCORE
30531,1010,0.004808,SCORE
30531,2491,0.004799,SCORE
30531,448,0.004533,SCORE
30531,111,0.004077,SCORE
30531,507,0.004015,SCORE
30531,1435,0.003987,SCORE
30531,122,0.003807,SCORE
30531,836,0.003805,SCORE
30531,1009,0.003739,SCORE
30531,691,0.003576,SCORE
30531,1399,0.003564,SCORE
30531,4617,0.003450,SCORE
30531,646,0.003363,SCORE
30531,120,0.003217,SCORE
30531,275,0.003165,SCORE
30531,311,0.002950,SCORE
30531,4938,0.002840,SCORE
30531,3801,0.002780,SCORE
30531,2817,0.002687,SCORE
30531,68,0.002658,SCORE
30531,211,0.002594,SCORE
30532,849,0.020182,SCORE
30532,1010,0.019087,SCORE
30532,856,0.016065,SCORE
30532,844,0.015974,SCORE
30532,5048,0.008732,SCORE
30532,1435,0.008481,SCORE
30532,1163,0.008188,SCORE
30532,910,0.007018,SCORE
30532,3801,0.006741,SCORE
30532,131,0.006237,SCORE
30532,1009,0.006105,SCORE
30532,4617,0.005638,SCORE
30532,836,0.005625,SCORE
30532,211,0.005554,SCORE
30532,385,0.005497,SCORE
