:START_ID,:END_ID,score:DOUBLE,:TYPE
104080,260,0.125831,SCORE
104080,7282,0.052589,SCORE
104080,11729,0.043739,SCORE
104080,190,0.037703,SCORE
104080,26,0.025434,SCORE
104080,805,0.021061,SCORE
104080,6398,0.019464,SCORE
104080,747,0.018776,SCORE
104080,659,0.018567,SCORE
104080,24,0.013150,SCORE
104080,161,0.008869,SCORE
104080,839,0.006530,SCORE
104080,2621,0.006167,SCORE
104080,746,0.005681,SCORE
104080,14539,0.005169,SCORE
104080,2324,0.004865,SCORE
104080,481,0.004413,SCORE
104080,8692,0.003729,SCORE
104080,73,0.003619,SCORE
104080,270,0.003369,SCORE
104080,2499,0.003273,SCORE
104080,1826,0.003239,SCORE
104080,3930,0.003236,SCORE
104080,517,0.003082,SCORE
104080,909,0.003020,SCORE
104080,428,0.002997,SCORE
104080,74,0.002906,SCORE
104080,3450,0.002833,SCORE
104080,986,0.002828,SCORE
104080,261,0.002765,SCORE
104081,441,0.150657,SCORE
104081,3851,0.049545,SCORE
104081,12724,0.014661,SCORE
104081,16219,0.014156,SCORE
104081,659,0.012639,SCORE
104081,736,0.011628,SCORE
104081,324,0.008595,SCORE
104081,189,0.008089,SCORE
104081,10999,0.007078,SCORE
104081,26,0.006067,SCORE
104081,25424,0.005561,SCORE
104081,161,0.004550,SCORE
104081,24576,0.004550,SCORE
104081,13271,0.004550,SCORE
104081,729,0.004550,SCORE
104081,4239,0.004550,SCORE
104081,1456,0.004044,SCORE
104081,48713,0.004044,SCORE
104081,14548,0.004044,SCORE
104081,10939,0.004044,SCORE
104081,29878,0.004044,SCORE
104081,21550,0.003539,SCORE
104081,44977,0.003539,SCORE
104081,34245,0.003539,SCORE
104081,49694,0.003539,SCORE
104081,21191,0.003539,SCORE
104081,69312,0.003033,SCORE
104081,2600,0.003033,SCORE
104081,1330,0.003033,SCORE
104081,15870,0.003033,SCORE
104082,428,0.036526,SCORE
104082,898,0.034444,SCORE
104082,13,0.025580,SCORE
104082,746,0.020807,SCORE
104082,38,0.019337,SCORE
104082,533,0.014715,SCORE
104082,1791,0.014000,SCORE
104082,3203,0.013262,SCORE
104082,24219,0.013262,SCORE
104082,24220,0.013262,SCORE
104082,6054,0.012556,SCORE
104082,3178,0.011831,SCORE
104082,517,0.011433,SCORE
104082,24,0.009960,SCORE
104082,268,0.009767,SCORE
104082,8283,0.008893,SCORE
104082,16377,0.007647,SCORE
104082,3902,0.006765,SCORE
104082,51126,0.006631,SCORE
104082,30,0.006325,SCORE
104082,42877,0.006289,SCORE
104082,126,0.006134,SCORE
104082,499,0.005792,SCORE
104082,2644,0.005145,SCORE
104082,11849,0.005119,SCORE
104082,1435,0.005075,SCORE
104082,1561,0.004371,SCORE
104082,1087,0.004359,SCORE
104082,73,0.004327,SCORE
104082,419,0.004102,SCORE
104083,117,0.048033,SCORE
104083,1342,0.025707,SCORE
104083,2038,0.015783,SCORE
104083,314,0.012517,SCORE
104083,24,0.011368,SCORE
104083,175,0.010417,SCORE
104083,260,0.009625,SCORE
104083,4453,0.009269,SCORE
104083,10394,0.008952,SCORE
104083,4814,0.007852,SCORE
104083,9846,0.006332,SCORE
104083,313,0.005823,SCORE
104083,796,0.005763,SCORE
104083,275,0.005481,SCORE
104083,38,0.005165,SCORE
104083,2954,0.005066,SCORE
104083,3862,0.004559,SCORE
104083,643,0.004559,SCORE
104083,2015,0.004559,SCORE
104083,4952,0.004559,SCORE
104083,1346,0.004559,SCORE
104083,190,0.004516,SCORE
104083,746,0.004214,SCORE
104083,34,0.004092,SCORE
104083,2209,0.004092,SCORE
104083,261,0.004032,SCORE
104083,448,0.003858,SCORE
104083,3851,0.003525,SCORE
104083,511,0.003422,SCORE
104083,950,0.003327,SCORE
104084,1115,0.042441,SCORE
104084,3014,0.034095,SCORE
104084,24,0.030363,SCORE
104084,2324,0.022351,SCORE
104084,10068,0.022297,SCORE
104084,815,0.022295,SCORE
104084,4271,0.022251,SCORE
104084,10415,0.022222,SCORE
104084,741,0.011753,SCORE
104084,275,0.009227,SCORE
104084,143,0.008923,SCORE
104084,38,0.008020,SCORE
104084,23,0.007225,SCORE
104084,175,0.006429,SCORE
104084,1006,0.006089,SCORE
104084,2061,0.005657,SCORE
104084,13,0.005378,SCORE
104084,1504,0.005360,SCORE
104084,1077,0.004840,SCORE
104084,351,0.004560,SCORE
104084,597,0.004541,SCORE
104084,1867,0.004482,SCORE
104084,604,0.004380,SCORE
104084,261,0.004304,SCORE
104084,521,0.004299,SCORE
104084,2416,0.004281,SCORE
104084,26,0.004260,SCORE
104084,1026,0.004238,SCORE
104084,17898,0.003907,SCORE
104084,839,0.003814,SCORE
104085,15413,0.022642,SCORE
104085,7920,0.016498,SCORE
104085,5507,0.015679,SCORE
104085,1066,0.015173,SCORE
104085,5491,0.013393,SCORE
104085,44822,0.010298,SCORE
104085,2717,0.010035,SCORE
104085,9587,0.009123,SCORE
104085,143,0.007436,SCORE
104085,24,0.006535,SCORE
104085,10558,0.006504,SCORE
104085,4216,0.006129,SCORE
104085,161,0.005718,SCORE
104085,1307,0.005468,SCORE
104085,1276,0.005459,SCORE
104085,4281,0.005290,SCORE
104085,1171,0.004601,SCORE
104085,685,0.004458,SCORE
104085,5102,0.004439,SCORE
104085,38,0.004364,SCORE
104085,311,0.004356,SCORE
104085,5318,0.004041,SCORE
104085,1912,0.004039,SCORE
104085,410,0.004020,SCORE
104085,6970,0.003510,SCORE
104085,643,0.003351,SCORE
104085,21359,0.003252,SCORE
104085,1267,0.003186,SCORE
104085,701,0.003141,SCORE
104085,1622,0.003091,SCORE
104086,448,0.016571,SCORE
104086,16061,0.013441,SCORE
104086,3953,0.013210,SCORE
104086,653,0.010606,SCORE
104086,7263,0.010599,SCORE
104086,26369,0.008364,SCORE
104086,2245,0.008178,SCORE
104086,224,0.008017,SCORE
