:START_ID,:END_ID,score:DOUBLE,:TYPE
61300,2831,0.023999,SCORE
61300,1134,0.023836,SCORE
61300,16483,0.023810,SCORE
61300,48,0.021244,SCORE
61300,265,0.017912,SCORE
61300,1324,0.016327,SCORE
61300,3337,0.014925,SCORE
61300,448,0.014174,SCORE
61300,143,0.013850,SCORE
61300,17274,0.013677,SCORE
61300,147,0.013441,SCORE
61300,2478,0.013312,SCORE
61300,4453,0.012070,SCORE
61300,1323,0.012061,SCORE
61300,2128,0.011957,SCORE
61300,52983,0.011905,SCORE
61300,1163,0.011523,SCORE
61300,1226,0.009581,SCORE
61300,4636,0.007147,SCORE
61300,944,0.006602,SCORE
61300,38,0.006458,SCORE
61300,428,0.006446,SCORE
61300,339,0.006373,SCORE
61300,2384,0.006353,SCORE
61300,1656,0.006345,SCORE
61300,358,0.006334,SCORE
61300,5767,0.006302,SCORE
61300,4617,0.006192,SCORE
61300,653,0.006084,SCORE
61300,1286,0.006035,SCORE
61301,143,0.015157,SCORE
61301,1089,0.011394,SCORE
61301,836,0.008439,SCORE
61301,443,0.007604,SCORE
61301,2036,0.007370,SCORE
61301,175,0.006182,SCORE
61301,24,0.006060,SCORE
61301,1462,0.005990,SCORE
61301,1010,0.005598,SCORE
61301,86,0.004891,SCORE
61301,1163,0.004622,SCORE
61301,412,0.004398,SCORE
61301,844,0.004284,SCORE
61301,34,0.004085,SCORE
61301,33,0.004068,SCORE
61301,237,0.003978,SCORE
61301,8633,0.003965,SCORE
61301,856,0.003936,SCORE
61301,2817,0.003848,SCORE
61301,839,0.003834,SCORE
61301,2521,0.003342,SCORE
61301,646,0.003309,SCORE
61301,211,0.003204,SCORE
61301,4623,0.003118,SCORE
61301,691,0.003025,SCORE
61301,68,0.003000,SCORE
61301,1027,0.002911,SCORE
61301,677,0.002821,SCORE
61301,1009,0.002797,SCORE
61301,2759,0.002768,SCORE
61302,7001,0.038865,SCORE
61302,24,0.029572,SCORE
61302,448,0.027399,SCORE
61302,2959,0.026735,SCORE
61302,5652,0.023235,SCORE
61302,120,0.021666,SCORE
61302,1815,0.020821,SCORE
61302,23438,0.017019,SCORE
61302,5524,0.016113,SCORE
61302,21358,0.015872,SCORE
61302,10033,0.015570,SCORE
61302,4875,0.014243,SCORE
61302,1764,0.014062,SCORE
61302,942,0.013699,SCORE
61302,275,0.012613,SCORE
61302,1622,0.009897,SCORE
61302,5373,0.007785,SCORE
61302,4002,0.006880,SCORE
61302,1543,0.006699,SCORE
61302,21041,0.006699,SCORE
61302,5859,0.006337,SCORE
61302,11215,0.005975,SCORE
61302,8784,0.005854,SCORE
61302,5027,0.005794,SCORE
61302,1658,0.005733,SCORE
61302,3297,0.005552,SCORE
61302,19019,0.005371,SCORE
61302,308,0.004949,SCORE
61302,251,0.004828,SCORE
61302,4411,0.004707,SCORE
61303,6216,0.112451,SCORE
61303,1101,0.020800,SCORE
61303,1267,0.017948,SCORE
61303,275,0.017657,SCORE
61303,24,0.012258,SCORE
61303,613,0.010164,SCORE
61303,2164,0.009854,SCORE
61303,486,0.008352,SCORE
61303,8838,0.007955,SCORE
61303,143,0.006842,SCORE
61303,16224,0.005933,SCORE
61303,2855,0.005874,SCORE
61303,72,0.005746,SCORE
61303,200,0.005555,SCORE
61303,4011,0.005419,SCORE
61303,120,0.004825,SCORE
61303,163,0.004667,SCORE
61303,1844,0.004496,SCORE
61303,448,0.004432,SCORE
61303,2725,0.004043,SCORE
61303,526,0.003946,SCORE
61303,447,0.003435,SCORE
61303,62,0.003288,SCORE
61303,115,0.003275,SCORE
61303,32,0.003235,SCORE
61303,6217,0.003110,SCORE
61303,5024,0.002993,SCORE
61303,2221,0.002924,SCORE
61303,5814,0.002914,SCORE
61303,84,0.002678,SCORE
61304,654,0.125001,SCORE
61304,448,0.041033,SCORE
61304,24,0.032567,SCORE
61304,114,0.019149,SCORE
61304,1412,0.015466,SCORE
61304,10759,0.014555,SCORE
61304,4669,0.012673,SCORE
61304,8102,0.012018,SCORE
61304,449,0.012000,SCORE
61304,308,0.011721,SCORE
61304,1267,0.010557,SCORE
61304,1010,0.009900,SCORE
61304,849,0.007494,SCORE
61304,659,0.006460,SCORE
61304,4035,0.006299,SCORE
61304,4679,0.006134,SCORE
61304,84,0.006034,SCORE
61304,2649,0.005897,SCORE
61304,382,0.004367,SCORE
61304,5781,0.004296,SCORE
61304,15880,0.004234,SCORE
61304,161,0.004156,SCORE
61304,275,0.003711,SCORE
61304,224,0.003432,SCORE
61304,5780,0.003427,SCORE
61304,22146,0.003348,SCORE
61304,7649,0.003325,SCORE
61304,854,0.003212,SCORE
61304,1422,0.003158,SCORE
61304,175,0.003131,SCORE
61305,161,0.071868,SCORE
61305,3066,0.038706,SCORE
61305,261,0.024965,SCORE
61305,24,0.015935,SCORE
61305,1682,0.015478,SCORE
61305,718,0.015047,SCORE
61305,2187,0.013945,SCORE
61305,1965,0.013115,SCORE
61305,64,0.009389,SCORE
61305,38,0.009307,SCORE
61305,441,0.008090,SCORE
61305,5974,0.007456,SCORE
61305,7263,0.006949,SCORE
61305,724,0.006595,SCORE
61305,275,0.006446,SCORE
61305,19328,0.005947,SCORE
61305,934,0.005622,SCORE
61305,324,0.005479,SCORE
61305,312,0.005152,SCORE
61305,36003,0.005143,SCORE
61305,148,0.005104,SCORE
61305,63,0.004883,SCORE
61305,2438,0.004826,SCORE
61305,84,0.004807,SCORE
61305,248,0.004786,SCORE
61305,5411,0.004726,SCORE
61305,448,0.004700,SCORE
61305,18650,0.004611,SCORE
61305,33,0.004469,SCORE
61305,796,0.004269,SCORE
61306,3142,0.050360,SCORE
61306,3024,0.043282,SCORE
61306,3970,0.017674,SCORE
61306,5693,0.013475,SCORE
61306,275,0.011070,SCORE
61306,122,0.010637,SCORE
61306,2817,0.010200,SCORE
61306,3203,0.009925,SCORE
61306,3131,0.009815,SCORE
61306,1476,0.008958,SCORE
61306,7736,0.008635,SCORE
61306,38,0.008126,SCORE
61306,817,0.007459,SCORE
61306,24,0.007253,SCORE
61306,2526,0.007101,SCORE
61306,878,0.006858,SCORE
61306,1163,0.006640,SCORE
61306,11729,0.006114,SCORE
61306,3342,0.006065,SCORE
61306,1816,0.006065,SCORE
61306,448,0.006034,SCORE
61306,4089,0.005870,SCORE
61306,8037,0.005789,SCORE
61306,7,0.005418,SCORE
61306,35879,0.005339,SCORE
61306,4450,0.005043,SCORE
61306,910,0.004962,SCORE
61306,19734,0.004842,SCORE
61306,5734,0.004762,SCORE
61306,1998,0.004681,SCORE
61307,9447,0.091791,SCORE
61307,26,0.071457,SCORE
61307,2179,0.052308,SCORE
61307,190,0.049404,SCORE
61307,1786,0.021632,SCORE
61307,261,0.017787,SCORE
61307,13277,0.015071,SCORE
61307,481,0.013327,SCORE
61307,659,0.013140,SCORE
61307,16933,0.011769,SCORE
61307,2715,0.011336,SCORE
61307,126,0.009454,SCORE
61307,650,0.008889,SCORE
61307,311,0.008169,SCORE
61307,20666,0.007192,SCORE
61307,716,0.006490,SCORE
61307,10258,0.005946,SCORE
61307,747,0.005329,SCORE
61307,14997,0.005128,SCORE
61307,24,0.005111,SCORE
61307,14539,0.004660,SCORE
61307,6782,0.004444,SCORE
61307,2469,0.004099,SCORE
61307,117,0.003955,SCORE
61307,11012,0.003931,SCORE
61307,9444,0.003931,SCORE
61307,45000,0.003923,SCORE
61307,11014,0.003590,SCORE
61307,2929,0.003573,SCORE
61307,308,0.003454,SCORE
61308,24,0.034468,SCORE
61308,854,0.014877,SCORE
61308,313,0.008125,SCORE
61308,1339,0.007747,SCORE
61308,117,0.007121,SCORE
61308,1793,0.006828,SCORE
61308,2918,0.006760,SCORE
61308,6342,0.006148,SCORE
61308,408,0.005519,SCORE
61308,1218,0.004903,SCORE
61308,841,0.004703,SCORE
61308,175,0.004693,SCORE
61308,120,0.004287,SCORE
61308,9857,0.004180,SCORE
61308,19576,0.004117,SCORE
61308,1002,0.004039,SCORE
61308,977,0.004033,SCORE
61308,38,0.004024,SCORE
61308,275,0.003904,SCORE
61308,438,0.003883,SCORE
61308,488,0.003737,SCORE
61308,1077,0.003677,SCORE
61308,604,0.003628,SCORE
61308,137,0.003398,SCORE
61308,2201,0.003389,SCORE
61308,126,0.003358,SCORE
61308,406,0.003355,SCORE
61308,680,0.003312,SCORE
61308,7696,0.003248,SCORE
61308,276,0.003186,SCORE
61309,408,0.018283,SCORE
61309,796,0.017485,SCORE
61309,175,0.016018,SCORE
